# 西北五地(新疆/青海/甘肃/宁夏/西藏)艺术机会官方 URL 清单
# 类型说明: jobs招聘 / opencall征稿 / exhibition展览 / workshop工作坊
# 均为 gov.cn 或正规机构官网,已逐条核实可访问;不含公众号/小红书/抖音
#
# ===================== 新疆维吾尔自治区 =====================
# 新疆文旅厅(gov.cn)——传统工艺展示活动征集
https://wlt.xinjiang.gov.cn/wlt/tzgg/202509/ac642bf46f89406fa9068bf6105da202.shtml # 新疆自治区文化和旅游厅 | opencall | 2026新疆传统工艺展示活动作品征集(雕塑/织染/陶瓷等)
# 新疆文旅厅(gov.cn)——双年展作品征集
https://wlt.xinjiang.gov.cn/wlt/tzgg/202403/455a730b65614985bab1e47fc28f8702.shtml # 新疆自治区文化和旅游厅 | opencall | 第四届中国新疆国际艺术双年展"腹地脉动"新疆作品征集启事
# 新疆自治区文联网——新疆美术作品展览征稿
http://www.xinjiangwenyi.cn/ggtz_1/202204/t20220415_590173.html # 新疆维吾尔自治区文学艺术界联合会 | opencall | 新疆美术家协会"迎接二十大 礼赞新时代"新疆美术作品展征稿
# 新疆文联网——青年书法篆刻展征稿
http://www.xinjiangwenyi.cn/wyjxh/sf/dt/202203/t20220310_585958.html # 新疆书法家协会(自治区文联网) | opencall | "沉醉墨海 书写人生"新疆首届青年书法篆刻展征稿启事
# 新疆美术馆——官方网站
https://www.xinjiangartmuseum.cn/ # 新疆美术馆 | exhibition | 官方场馆介绍/入馆预约/展览公告(数字美术馆平台)
# 喀什大学美术学院——新疆中国画作品展征稿
https://msy.ksu.edu.cn/info/1013/2312.htm # 喀什大学美术学院 | opencall | "壮美昆仑·首届新疆中国画作品展"征稿通知
# 喀什大学宣传部——新疆大学生美术作品展征稿
https://xcb.ksu.edu.cn/info/1021/6825.htm # 喀什大学(转发新疆美术馆/新疆美协) | opencall | "致青春·浪遏飞舟"第四届新疆大学生优秀美术作品展征稿
# 新疆艺术学院——人事招聘信息公告页
https://www.xjart.edu.cn/xxgk1/xxgg.htm # 新疆艺术学院人事处 | jobs | 面向社会公开招聘事业编制/高层次人才公告汇总页
# 新疆艺术学院——高层次人才引进公告
https://www.xjart.edu.cn/info/1031/1390.htm # 新疆艺术学院 | jobs | 2025年高层次人才引进公告(美术学院等教学单位)
# 中国美术家协会——新疆情系塔里木展览征稿(面向全国)
https://caanet.org.cn/newsdetail.mx?id=9805 # 中国美术家协会 | opencall | "情系塔里木"美术作品展览征稿通知(展出于新疆美术馆/阿克苏)
#
# ===================== 甘肃省(含敦煌) =====================
# 敦煌研究院——官方网站(展览/资讯)
https://www.dha.ac.cn/ # 敦煌研究院 | exhibition | 机构官网、常设展览/赴外展览、通知公告
